,ra,dec,z,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
955,334.627599,-0.45542,0.5394,23.138065338134766,22.04334259033203,21.462873458862305,21.20116424560547,21.251720428466797,0.10206376761198044,0.046159207820892334,0.04109170287847519,0.061503518372774124,0.2221240997314453
956,333.680208,-0.443073,0.298,22.333534240722656,21.628524780273438,21.481168746948242,21.329856872558594,21.348590850830078,0.03626427426934242,0.024064352735877037,0.03231332451105118,0.05189195275306702,0.1865101158618927
957,335.195564,-0.436994,0.6255,24.675472259521484,22.235576629638672,21.34812355041504,20.989139556884766,20.72135353088379,0.4270394742488861,0.05996482074260712,0.04087499529123306,0.05005048215389252,0.16411787271499634
958,335.058418,-0.350727,0.1331,19.913768768310547,19.54897689819336,19.36036491394043,19.30858612060547,19.28854751586914,0.006774041801691055,0.006477164104580879,0.008006257005035877,0.014441465958952904,0.05758761987090111
959,333.755172,-0.054303,0.2721,22.770694732666016,22.335342407226562,22.271587371826172,22.36156463623047,21.94843864440918,0.052641611546278,0.04504198953509331,0.06563841551542282,0.13699252903461456,0.29834485054016113
960,333.700613,-0.445363,0.6525,22.592744827270508,20.70760154724121,19.72399139404297,19.28034210205078,19.126554489135742,0.07083464413881302,0.0162041075527668,0.010000033304095268,0.01269539725035429,0.039532292634248734
961,334.638819,-0.456157,0.4401,23.08725357055664,21.786190032958984,21.17363929748535,20.765735626220703,20.850934982299805,0.08765555918216705,0.033512577414512634,0.02875509113073349,0.03874236345291138,0.1542610377073288
962,335.134778,-0.525223,0.7194,22.725500106811523,21.926939010620117,21.37879180908203,21.207489013671875,21.91259002685547,0.05685557797551155,0.037598155438899994,0.033935897052288055,0.05321982502937317,0.3963675796985626
963,335.200335,-0.438748,0.7238,23.676908493041992,22.61241340637207,21.866724014282227,21.614253997802734,21.509220123291016,0.13360846042633057,0.06827197223901749,0.05165723338723183,0.06763312220573425,0.26755616068840027
964,333.69912,-0.411157,0.7434,23.077228546142578,22.44585609436035,21.96661376953125,21.62693977355957,21.826444625854492,0.08651459962129593,0.06371526420116425,0.06345498561859131,0.09074603021144867,0.355022668838501
965,333.724547,-0.487702,0.661,23.7659854888916,22.138303756713867,21.304893493652344,20.825843811035156,20.533592224121094,0.19084101915359497,0.053630176931619644,0.03720887005329132,0.04462984949350357,0.12347624450922012
966,333.743341,-0.04175,0.2725,23.044898986816406,22.333772659301758,22.118799209594727,22.135501861572266,21.972938537597656,0.08283846080303192,0.05526556074619293,0.0703372210264206,0.1419101059436798,0.4171026051044464
967,333.982171,-0.495559,0.4124,21.958738327026367,20.74724578857422,20.349803924560547,19.97562026977539,20.001964569091797,0.03463241085410118,0.014233274385333061,0.014744170010089874,0.020046934485435486,0.07611117511987686
968,333.536257,-0.009685,0.2044,23.261777877807617,22.644014358520508,22.4627742767334,22.362613677978516,23.144481658935547,0.07562287151813507,0.054265499114990234,0.07053907960653305,0.12570051848888397,0.7625770568847656
969,333.991249,-0.500803,0.7607,23.78890609741211,22.914396286010742,22.439037322998047,21.926546096801758,21.877742767333984,0.11932573467493057,0.06608768552541733,0.06454228609800339,0.0779680460691452,0.2607455551624298
970,333.61655,-0.520399,0.834,23.359033584594727,22.228294372558594,21.353246688842773,20.859697341918945,20.649255752563477,0.09434504806995392,0.04498971626162529,0.030132286250591278,0.03589695319533348,0.09856826066970825
971,335.43923,-0.236246,0.4763,23.20026397705078,22.450204849243164,22.146738052368164,22.10137176513672,22.267852783203125,0.07530605792999268,0.04946635290980339,0.0563715398311615,0.10719920694828033,0.4322047531604767
972,333.678358,-0.521117,0.8349,22.529924392700195,22.094703674316406,21.479272842407227,21.410181045532227,21.646745681762695,0.04606880620121956,0.03940789774060249,0.03372160345315933,0.060970060527324677,0.26974380016326904
